dien_tich,so_phong,kc_trung_tam,tuoi_nha,gia
137,5,14.2,25,3434.9
178,2,28.0,20,2850.3
183,3,5.7,21,4083.3
136,1,8.4,6,3163.9
163,3,25.4,13,3239.3
109,1,25.3,14,2090.1
132,2,22.6,6,2829.3
42,2,24.4,8,1577.5
187,3,19.2,47,3040.9
203,4,9.2,7,4240.9
186,3,12.4,49,3451.8
129,5,6.8,22,3643.2
186,3,31.8,28,2760.8
187,2,20.6,17,3435.3
135,4,14.3,30,2914.5
91,2,16.4,29,2307.5
200,5,33.2,38,3583.4
207,1,5.8,34,3701.4
167,5,20.7,17,3745.8
78,1,18.0,41,1583.8
121,4,21.6,38,2907.4
143,3,1.1,16,3383.0
168,5,30.6,13,3116.9
50,1,32.7,30,1143.5
217,3,20.0,23,3492.9
190,5,24.5,34,3691.3
198,3,32.3,43,3127.8
81,3,24.9,44,2169.6
138,4,5.8,33,3463.8
46,3,20.4,2,1725.4
183,3,21.4,36,3172.1
129,3,15.1,42,2878.2
151,5,25.9,39,3255.0
99,1,32.7,25,2040.6
152,2,32.4,22,2856.6
41,5,16.1,43,1979.4
168,4,4.4,38,3767.3
87,3,34.5,14,2253.3
179,3,29.4,48,2924.4
76,2,4.8,3,2636.4
199,2,32.3,28,3097.7
48,3,30.5,21,1496.3
138,3,18.4,24,2962.7
186,3,20.9,12,3439.7
87,1,14.3,17,2176.9
170,5,2.4,32,3787.7
187,5,12.1,15,4037.3
191,4,28.2,44,3415.7
93,3,0.7,41,2614.5
159,3,12.0,43,3215.7
200,4,14.2,1,4162.1
191,4,19.0,34,3726.5
155,2,32.2,41,2503.0
114,5,12.4,33,3239.5
152,4,12.5,29,3001.3
203,5,25.9,12,4471.3
205,4,16.1,12,3904.7
143,3,8.2,17,3397.6
123,3,16.1,31,2606.6
151,5,5.4,31,3795.0
138,4,6.6,34,3368.8
192,1,17.7,38,3090.4
132,1,15.0,45,2692.2
185,3,32.1,28,3114.0
167,4,13.0,48,3493.5
149,5,20.5,28,3136.4
121,2,22.3,43,2344.9
93,3,1.0,15,3281.6
202,3,23.4,43,3618.3
208,5,6.6,46,4268.4
200,4,33.7,9,3504.7
107,4,5.6,29,3024.1
72,3,14.8,24,2287.6
181,3,3.4,38,3813.9
60,2,34.9,19,1301.7
87,1,17.8,4,2337.3
187,4,21.0,0,3622.9
167,4,2.8,29,4095.6
175,5,26.4,48,3167.1
174,5,7.7,2,4182.9
184,3,31.5,44,3199.4
167,4,7.6,13,3764.6
72,5,7.1,29,2765.8
215,4,1.8,49,4501.3
154,2,16.8,3,3305.6
158,3,20.0,17,3274.0
61,2,2.8,36,1870.7
197,5,27.3,24,3571.4
77,3,16.1,47,2283.9
148,2,18.6,0,3213.6
90,3,15.7,45,2407.4
47,3,14.3,14,2158.9
66,3,19.8,8,2415.2
66,2,5.9,14,2285.4
60,3,6.8,48,2137.7
69,3,30.2,23,1653.8
136,4,33.1,3,2650.5
67,3,13.4,11,2035.1
150,4,9.8,36,3207.7
100,3,22.7,36,2574.0
87,3,14.6,42,2013.5
186,4,1.4,5,4202.4
43,3,5.9,38,1781.7
74,2,25.2,45,1589.8
88,1,23.2,23,1972.5
56,4,1.4,10,2531.0
211,3,8.2,12,4377.1
197,4,8.5,33,4263.6
